customer_id,first_name,last_name,email,phone,city,loyalty_tier,registration_date
CUST0001,Ruwan,Herath,ruwan.herath1@retaillake.lk,0797980930,Kandy,Silver,2024-08-25
CUST0002,Zainab,Herath,zainab.herath2@retaillake.lk,0787774890,Matara,Gold,2023-03-15
CUST0003,Kamal,Rathnayake,kamal.rathnayake3@retaillake.lk,0769352161,Kurunegala,Gold,2025-01-12
CUST0004,Anjali,Fernando,anjali.fernando4@retaillake.lk,0751662236,Matara,Platinum,2021-01-12
CUST0005,Chamath,Fernando,chamath.fernando5@retaillake.lk,0796525668,Kandy,Platinum,2024-10-18
CUST0006,Nimal,Rathnayake,nimal.rathnayake6@retaillake.lk,0786726461,Badulla,Gold,2025-08-17
CUST0007,Ruwan,Perera,ruwan.perera7@retaillake.lk,0770468188,Kandy,Gold,2021-09-21
CUST0008,Kasun,Perera,kasun.perera8@retaillake.lk,0743251599,Matara,Platinum,2025-09-20
CUST0009,Kasun,Wijesinghe,kasun.wijesinghe9@retaillake.lk,0760043345,Kurunegala,Platinum,2024-06-22
CUST0010,Madhavi,Perera,madhavi.perera10@retaillake.lk,0794676162,Jaffna,Bronze,2023-02-18
CUST0011,Dilani,Jayasinghe,dilani.jayasinghe11@retaillake.lk,0743822301,Nuwara Eliya,Silver,2023-02-19
CUST0012,Ruwan,Wijesinghe,ruwan.wijesinghe12@retaillake.lk,0751638598,Negombo,Silver,2025-12-03
CUST0013,Chamath,Senanayake,chamath.senanayake13@retaillake.lk,0760557040,Jaffna,Silver,2025-02-21
CUST0014,Hiruni,Senanayake,hiruni.senanayake14@retaillake.lk,0758563745,Colombo,Gold,2023-03-07
CUST0015,Ayesha,Herath,ayesha.herath15@retaillake.lk,0775266178,Badulla,Silver,2022-03-03
CUST0016,Chamath,Abeysekara,chamath.abeysekara16@retaillake.lk,0723574883,Ratnapura,Bronze,2023-10-05
CUST0017,Madhavi,Gunawardena,madhavi.gunawardena17@retaillake.lk,0730703455,Galle,Silver,2025-03-24
CUST0018,Shalini,Perera,shalini.perera18@retaillake.lk,0765144509,Jaffna,Silver,2024-10-10
CUST0019,Shalini,Bandara,shalini.bandara19@retaillake.lk,0781673763,Badulla,Gold,2024-04-12
CUST0020,Zainab,Rathnayake,zainab.rathnayake20@retaillake.lk,0771965637,Kurunegala,Platinum,2025-09-14
CUST0021,Kasun,Abeysekara,kasun.abeysekara21@retaillake.lk,0736802975,Nuwara Eliya,Silver,2023-01-21
CUST0022,Tharushi,Abeysekara,tharushi.abeysekara22@retaillake.lk,0759823245,Ratnapura,Bronze,2025-02-10
CUST0023,Kamal,Herath,kamal.herath23@retaillake.lk,0731516757,Kurunegala,Platinum,2025-03-27
CUST0024,Hiruni,Fernando,hiruni.fernando24@retaillake.lk,0739801436,Matara,Gold,2021-07-02
CUST0025,Dilani,Senanayake,dilani.senanayake25@retaillake.lk,0760192261,Badulla,Platinum,2021-06-08
